" "," ","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
" ","NCR",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" ","CAR",23707.68,25274.71,24817.35,23901.62,23969.10,24835.22,23204.68,26875.08,25883.66,24794.02,24750.81,22522.44,22072.06,22353.03,23620.21,23898.91,25054.44,26785.89,26699.71,26981.10,25668.92,25082.53,25100.14,27194.63,26254.01,26576.42
" ","ILOCOS REGION",34615.43,33050.25,31951.87,32280.01,32804.55,30925.71,29613.09,29553.40,26563.00,31302.60,32488.62,33245.05,32963.19,33162.04,35213.97,37370.39,41949.78,46393.08,46113.61,43270.40,41220.27,40785.21,42559.69,43478.88,43880.36,43164.17
" ","CAGAYAN VALLEY",199456.19,254633.23,257548.54,249526.84,258793.88,271307.41,281458.58,291618.09,260510.49,246662.03,271436.73,265198.92,270777.54,231485.60,211358.08,269242.46,350997.48,386928.19,378201.01,419405.70,368074.23,269193.41,309238.91,361063.38,376365.98,384134.21
" ","CENTRAL LUZON",35757.19,34708.02,37053.12,39818.91,39375.16,40094.25,39489.04,40598.35,39741.17,42216.17,44086.22,46248.61,46382.86,44194.42,45031.95,46410.97,50820.63,51633.81,54795.89,54714.29,58216.40,57419.90,57584.11,58917.15,58783.32,58438.75
" ","CALABARZON",106038.54,114762.57,121392.03,126266.33,128255.53,119723.30,90819.92,127649.10,126717.10,138881.01,150688.44,139368.92,142045.91,144145.27,141732.06,138854.31,105519.73,101681.92,105365.79,109405.57,105841.75,113587.59,116468.53,117973.96,104303.53,96306.52
" ","MIMAROPA",113149.22,112952.03,116872.77,114333.95,104839.16,119630.92,122691.88,123574.59,144069.61,157744.89,159970.65,159544.79,160159.98,169418.20,167479.27,203676.34,185542.21,188587.96,196095.50,204745.14,210382.85,223794.14,199267.65,158671.40,155262.81,168299.04
" ","BICOL REGION",97724.66,96101.80,104023.72,104535.09,87091.64,69920.44,38301.98,72805.89,71721.44,62116.62,66950.43,63249.45,69379.59,74480.20,69161.19,68234.98,63772.14,55459.27,67598.83,73511.82,77891.54,78942.32,81413.60,83352.58,74510.66,76451.71
" ","WESTERN VISAYAS",269556.67,244331.77,242156.18,239562.37,239668.90,240569.04,236577.30,243650.79,201035.44,243483.46,254501.39,256146.02,254640.45,254142.77,265100.56,286637.02,315970.22,331646.47,328171.01,334506.90,332177.65,344588.49,353137.67,332761.56,270329.93,285578.00
" ","CENTRAL VISAYAS",169773.29,157281.07,158572.31,156947.44,162388.02,165991.67,170711.07,179069.28,166474.87,175366.31,182349.85,165931.20,163375.77,167709.00,164914.70,146100.32,163290.54,157153.24,169642.97,187533.03,182323.07,199544.98,202511.80,190699.56,194069.28,198837.74
" ","EASTERN VISAYAS",209188.78,205303.48,213171.45,214092.84,228680.66,217333.78,206225.46,216354.50,201501.76,207197.26,224232.50,226987.18,230121.01,233629.00,230988.57,234767.55,229948.38,246144.24,269132.62,275425.30,278305.78,277173.15,280439.13,259095.35,216991.24,227223.23
" ","ZAMBOANGA PENINSULA",163479.02,182274.36,183554.00,180743.73,187345.99,185200.45,165136.89,178140.27,142934.94,151661.23,159603.18,162069.39,170864.66,168018.52,178884.88,242490.34,237692.66,247270.52,253667.12,261081.43,263643.26,238309.33,240487.16,259188.22,274127.33,281856.14
" ","NORTHERN MINDANAO",273503.15,289659.70,317819.55,329922.92,338257.68,351773.73,389427.88,413039.49,382496.52,468989.96,488433.77,518595.69,534814.84,515502.12,571626.07,590026.01,662189.05,933113.62,1631303.73,1657685.69,1702391.84,1725775.20,1718787.39,1735977.42,1781044.74,1832172.59
" ","DAVAO REGION",1045106.65,1104715.39,1104647.04,1151380.28,1259261.23,1590394.73,1648477.93,1662436.38,1559415.02,1753361.41,1920758.68,2015731.90,2081418.71,2149556.15,2308772.53,2673618.41,2945845.30,3180331.24,3569079.26,3749766.10,3804459.99,3854844.76,3785421.69,3164641.04,3368175.55,3455014.08
" ","SOCCSKSARGEN",343474.45,360107.35,351758.85,374497.21,359751.91,335348.42,325803.84,353848.81,323797.97,361935.49,401210.15,429479.78,522746.21,582088.40,631697.06,753494.96,830821.88,935564.56,998634.88,1024009.06,1043811.31,1094955.99,1155347.63,1185492.28,1203369.12,1159091.02
" ","CARAGA",266238.44,261754.18,259107.55,262023.02,248459.21,247480.10,244113.88,207516.46,188090.65,192157.56,197289.01,197848.05,197912.45,202710.98,205039.27,208432.06,213155.18,222703.14,219635.80,209399.16,210392.94,204139.88,218804.97,208303.19,243791.92,259737.68
" ","ARMM",188846.98,185394.93,199440.75,209539.43,217443.73,225724.30,217088.65,240934.82,245744.63,312769.99,350819.92,357192.72,375150.48,376381.14,380629.42,374969.90,371994.39,372675.91,373485.99,381745.01,396539.39,416909.57,440198.01,459605.99,493597.61,531047.72



