기간,품목명,품목코드,국가명,수출중량,수입중량,수출금액,수입금액,무역수지
2004,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,가나,                   0.0,                   0.2,                   0,                   0,                   0
2011,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,과테말라,                   0.0,"               1,345.5",                   0,"               1,147","              -1,147"
2000,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,러시아 연방,                 504.6,                   0.0,                 269,                   0,                 269
2000,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,미국,                   0.0,                  18.6,                   0,                   7,                  -7
2000,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,에쿠아도르,                   0.0,"               4,686.3",                   0,"               2,161","              -2,161"
2000,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,중국,                   0.0,                   0.0,                   0,                   0,                   0
2000,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,태국,                   0.0,                   0.0,                   0,                   0,                   0
2000,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,필리핀,                   0.0,"             179,507.3",                   0,"              73,082","             -73,082"
2001,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,러시아 연방,                 981.3,                   0.0,                 658,                   0,                 658
2001,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,에쿠아도르,                   0.0,                  10.0,                   0,                  33,                 -33
2001,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,일본,                   0.0,                  47.7,                   0,                  19,                 -19
2001,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,중국,                   0.5,                   0.0,                   0,                   0,                   0
2001,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,태국,                   0.0,                   0.1,                   0,                   0,                   0
2001,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,필리핀,                   0.0,"             194,494.3",                   0,"              69,993","             -69,993"
2002,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,러시아 연방,                 732.1,                   0.0,                 629,                   0,                 629
2002,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,미국,                   0.0,                  36.9,                   0,                  16,                 -16
2002,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,중국,                   0.0,                   0.0,                   0,                   0,                   0
2002,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,필리핀,                   0.0,"             187,131.9",                   0,"              78,196","             -78,196"
2003,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,독일,                   0.0,                   0.1,                   0,                   1,                  -1
2003,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,러시아 연방,                 971.3,                   0.0,                 616,                   0,                 616
2003,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,방글라데시,                   0.0,                   0.1,                   0,                   0,                   0
2003,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,콜롬비아,                   0.0,                   0.2,                   0,                   0,                   0
2003,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,필리핀,                   0.0,"             220,965.0",                   0,"              90,681","             -90,681"
2003,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,호주,                   0.0,                   0.0,                   0,                   0,                   0
2004,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,대만,                   0.0,                   3.5,                   0,                   9,                  -9
2004,"바나나(플랜틴을 포함하며, 신선 또는 건조한 것에 한한다) ",080300,러시아 연방,"               1,748.9",                   0.0,                 869,                   0,                 869
