,,,,,전체 평균
도매,바나나,수입(13kg),상품,2016,"29,214"
도매,바나나,수입(13kg),상품,2015,"26,632"
도매,바나나,수입(13kg),상품,2014,"26,177"
도매,바나나,수입(13kg),상품,2013,"25,385"
도매,바나나,수입(13kg),상품,2012,"19,795"
도매,바나나,수입(13kg),상품,2011,"19,552"
도매,바나나,수입(13kg),상품,2010,"19,489"
도매,바나나,수입(13kg),상품,2009,"21,759"
도매,바나나,수입(13kg),상품,2008,"18,073"
도매,바나나,수입(13kg),상품,2007,"15,379"
도매,바나나,수입(13kg),상품,2006,"15,002"
도매,바나나,수입(13kg),상품,2005,"14,596"
도매,바나나,수입(13kg),상품,2004,"15,049"
도매,바나나,수입(13kg),상품,2003,"15,890"
도매,바나나,수입(13kg),상품,2002,"17,344"
도매,바나나,수입(13kg),상품,2001,"14,115"
도매,바나나,수입(13kg),상품,2000,"14,069"
도매,바나나,수입(13kg),상품,1999,"17,436"
도매,바나나,수입(13kg),상품,1998,"24,414"
도매,바나나,수입(13kg),상품,1997,"16,531"
도매,바나나,수입(13kg),상품,1996,"15,982"
도매,바나나,수입(13kg),중품,2016,"25,543"
도매,바나나,수입(13kg),중품,2015,"23,004"
도매,바나나,수입(13kg),중품,2014,"23,107"
도매,바나나,수입(13kg),중품,2013,"22,883"
도매,바나나,수입(13kg),중품,2012,"18,074"
도매,바나나,수입(13kg),중품,2011,"17,846"
도매,바나나,수입(13kg),중품,2010,"17,570"
도매,바나나,수입(13kg),중품,2009,"20,578"
도매,바나나,수입(13kg),중품,2008,"16,681"
도매,바나나,수입(13kg),중품,2007,"14,012"
도매,바나나,수입(13kg),중품,2006,"13,516"
도매,바나나,수입(13kg),중품,2005,"12,842"
도매,바나나,수입(13kg),중품,2004,"13,401"
도매,바나나,수입(13kg),중품,2003,"13,853"
도매,바나나,수입(13kg),중품,2002,"14,807"
도매,바나나,수입(13kg),중품,2001,"11,532"
도매,바나나,수입(13kg),중품,2000,"11,188"
도매,바나나,수입(13kg),중품,1999,"14,138"
도매,바나나,수입(13kg),중품,1998,"21,567"
도매,바나나,수입(13kg),중품,1997,"14,294"
도매,바나나,수입(13kg),중품,1996,"14,184"
소매,바나나,수입(100g),상품,2016,280
소매,바나나,수입(100g),상품,2015,257
소매,바나나,수입(100g),상품,2014,261
소매,바나나,수입(100g),상품,2013,262
소매,바나나,수입(100g),상품,2012,237
소매,바나나,수입(100g),상품,2011,254
소매,바나나,수입(100g),상품,2010,261
소매,바나나,수입(100g),상품,2009,273
소매,바나나,수입(100g),상품,2008,213
소매,바나나,수입(100g),상품,2007,197
소매,바나나,수입(100g),상품,2006,196
소매,바나나,수입(100g),상품,2005,188
소매,바나나,수입(100g),상품,2004,179
소매,바나나,수입(100g),상품,2003,176
소매,바나나,수입(100g),상품,2002,185
소매,바나나,수입(100g),상품,2001,180
소매,바나나,수입(100g),상품,2000,182
소매,바나나,수입(100g),상품,1999,202
소매,바나나,수입(100g),상품,1998,261
소매,바나나,수입(100g),상품,1997,191
소매,바나나,수입(100g),상품,1996,179
소매,바나나,수입(100g),중품,2016,245
소매,바나나,수입(100g),중품,2015,226
소매,바나나,수입(100g),중품,2014,221
소매,바나나,수입(100g),중품,2013,210
소매,바나나,수입(100g),중품,2012,176
소매,바나나,수입(100g),중품,2011,178
소매,바나나,수입(100g),중품,2010,188
소매,바나나,수입(100g),중품,2009,211
소매,바나나,수입(100g),중품,2008,162
소매,바나나,수입(100g),중품,2007,156
소매,바나나,수입(100g),중품,2006,160
소매,바나나,수입(100g),중품,2005,159
소매,바나나,수입(100g),중품,2004,148
소매,바나나,수입(100g),중품,2003,151
소매,바나나,수입(100g),중품,2002,159
소매,바나나,수입(100g),중품,2001,157
소매,바나나,수입(100g),중품,2000,153
소매,바나나,수입(100g),중품,1999,175
소매,바나나,수입(100g),중품,1998,227
소매,바나나,수입(100g),중품,1997,162
소매,바나나,수입(100g),중품,1996,154
전체 평균,전체 평균,전체 평균,전체 평균,전체 평균,"8,932"
