Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Unit,Value,Flag,FlagD
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1961","Ha","248000.00","F","FAO estimate"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1962","Ha","245000.00","F","FAO estimate"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1963","Ha","226900.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1964","Ha","250580.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1965","Ha","259800.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1966","Ha","255600.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1967","Ha","248980.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1968","Ha","226580.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1969","Ha","272590.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1970","Ha","294160.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1971","Ha","290720.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1972","Ha","303750.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1973","Ha","285170.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1974","Ha","260590.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1975","Ha","233300.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1976","Ha","297720.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1977","Ha","300440.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1978","Ha","284360.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1979","Ha","312000.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1980","Ha","317580.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1981","Ha","311830.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1982","Ha","331410.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1983","Ha","326030.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1984","Ha","317610.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1985","Ha","320500.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1986","Ha","292719.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1987","Ha","298916.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1988","Ha","294630.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1989","Ha","295586.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1990","Ha","311819.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1991","Ha","317108.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1992","Ha","321195.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1993","Ha","326761.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1994","Ha","335131.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1995","Ha","339398.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1996","Ha","344448.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1997","Ha","348648.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1998","Ha","353707.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","1999","Ha","372127.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","2000","Ha","382491.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","2001","Ha","386703.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","2002","Ha","398005.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","2003","Ha","408000.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","2004","Ha","414510.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","2005","Ha","417755.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","2006","Ha","428804.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","2007","Ha","436762.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","2008","Ha","438593.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","2009","Ha","446371.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","2010","Ha","449443.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","2011","Ha","450125.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","2012","Ha","454179.00","","Official data"
"QC","Crops","171","Philippines","5312","Area harvested","486","Bananas","2013","Ha","445935.00","","Official data"

